family,order,nodes,edges,rank,centroid_inf,residual_minus2_inf,residual_minus4_inf,min_gamma,negative_gamma_count,first_mode_residual_inf,defect_identity_residual_inf,min_degree2_defect,max_degree2_defect,min_rate_times_defect,status,message
gauss-legendre-chebychev,2,8,12,12,2.2204460492503131e-16,8.8817841970012523e-16,1.8137993642342176,1.5707963267948948,0,6.6613381477509392e-16,2.2204460492503131e-15,1.3333333333333326,1.333333333333333,3.999999999999996,PASS,""
gauss-legendre-chebychev,3,18,30,30,6.106226635438361e-16,3.9968028886505635e-15,1.8616845354606166,1.0063697203268578,0,4.2188474935755949e-15,5.2180482157382357e-15,0.52316008467876673,0.87829175487371658,4.0948400278578001,PASS,""
gauss-legendre-chebychev,4,32,56,56,6.3837823915946501e-16,1.609823385706477e-15,0.89003488008095333,0.90286476425227724,0,5.1070259132757201e-15,6.7168492989821971e-15,0.26758535814438461,0.49085579993565237,4.0138381771507454,PASS,""
carlson,2,8,12,12,2.2204460492503131e-16,4.4408920985006262e-16,1.8137993642342181,1.5707963267948961,0,4.4408920985006262e-16,4.4408920985006262e-16,1.3333333333333335,1.3333333333333335,4,PASS,""
carlson,4,24,48,48,2.7755575615628914e-16,2.8310687127941492e-15,0.92354143134067557,0.84175059603318314,0,5.440092820663267e-15,1.3100631690576847e-14,0.52061663651131362,0.52061663651131496,4.092568289698157,PASS,""
carlson,6,48,108,108,4.3021142204224816e-16,2.4563684419831588e-15,0.49252336862726698,0.42370147319253515,0,9.1593399531575415e-15,1.149080830487037e-14,0.24519043565064186,0.29217635364402078,4.0150670928148342,PASS,""
lebedev,3,6,12,12,0,2.6645352591003757e-15,4.188790204786395,1.047197551196597,0,1.3322676295501878e-15,2.6645352591003757e-15,1.9999999999999987,2.0000000000000004,3.9999999999999947,PASS,""
lebedev,5,14,36,36,0,3.7747582837255322e-15,1.6755160819145598,0.31415926535897687,0,4.4408920985006262e-15,1.1102230246251565e-14,0.84529946162074654,1.0079774188582749,3.9999999999999827,PASS,""
lebedev,7,26,72,72,5.5511151231257827e-17,2.2204460492503131e-15,1.1967972013675423,0.10618697181051084,0,4.2188474935755949e-15,1.0103029524088925e-14,0.44672227539057874,0.62471339122598135,4.069364712081204,PASS,""
lebedev,9,38,108,108,1.1102230246251565e-16,1.4432899320127035e-15,0.63770656746693277,0.53463691462586038,0,8.8817841970012523e-15,1.5987211554602254e-14,0.22385233204576943,0.44372385444068146,3.9999999999999862,PASS,""
