E_low[eV],E_high[eV],flux_bin [n·s⁻¹],err_bin [n·s⁻¹],flux_per_energy [n·cm⁻²·s⁻¹/eV],err_per_energy [n·cm⁻²·s⁻¹/eV],flux_per_lethargy [n·cm⁻²·s⁻¹],err_per_lethargy [n·cm⁻²·s⁻¹]
0.0,0.0024999,2443903092204.6655,44112010748.29722,977600340895501.9,17645510119723.676,0.0,0.0
0.0024999,0.00455602,5632804912146.098,82139736421.4765,2739531210311702.5,39948902020055.5,9245499548844.885,134821444710.3333
0.00455602,0.00714526,10829840382290.8,109107352963.86243,4182632889299872.5,42138756146151.94,23864458108583.92,240427168105.11334
0.00714526,0.0104505,18612715005774.156,146857825260.30865,5631274886475462.0,44431818948187.93,48661364267471.43,383947324627.4697
0.0104505,0.01483,30688745073714.402,202675971651.29562,7007362729470123.0,46278335803469.73,87235591315612.69,576125162172.5948
0.01483,0.0200104,41719350255706.76,212546491544.954,8053306743824173.0,41028972964434.01,138730739696223.03,706787900845.4839
0.0200104,0.0249394,41894991869851.19,224210938059.50296,8499694029184661.0,45488118900284.64,189877794159979.03,1016175834990.7836
0.0249394,0.0292989,37954019371594.3,220996808661.40466,8706048714667808.0,50693154871293.664,235336749752725.88,1370307322312.8662
0.0292989,0.0343998,43708553395330.45,242169927717.55457,8568792447476021.0,47475921448676.6,272034032948274.78,1507221286871.4294
0.0343998,0.0402999,47931451244150.61,262236652126.66623,8123837094990022.0,44446136866606.72,302476158710944.7,1654870302266.766
0.0402999,0.0473019,52045885541843.31,261293390011.41818,7433002790894502.0,37316965154444.18,324530540380175.9,1629287006558.8342
0.0473019,0.0554982,52631769987661.39,265269674500.80115,6421405998763029.0,32364563827678.496,329009827933000.56,1658244250265.801
0.0554982,0.0651999,52613356279740.53,271097749329.15717,5423106907010163.0,27943324296685.836,326220372673713.4,1680896545488.3298
0.0651999,0.0764969,48089886213667.98,271231734221.3729,4256872285887224.0,24009182457411.07,300632552014967.44,1695597450243.942
0.0764969,0.0897968,41057551087453.77,223631879511.93115,3087057127305755.0,16814553456186.236,255856829852924.3,1393598552044.626
0.0897968,0.104298,30654929043533.668,211365237290.67792,2113958089229419.5,14575706651220.44,204580762681840.12,1410581032105.709
0.104298,0.119995,22194821645307.883,167385700110.53317,1413953089463456.8,10663547181661.027,158181090950934.3,1192947304384.7375
0.119995,0.137999,15316305008227.195,128395502407.16508,850716785615818.1,7131498689578.151,109472376643922.2,917699196467.6013
0.137999,0.161895,11106020959104.754,116270196908.18718,464764854331467.8,4865676134423.635,69468507261097.055,727273705668.9901
0.161895,0.190005,6472430146624.148,92975973588.04808,230253651605270.38,3307576435007.047,40383667668896.78,580108357064.3429
0.190005,0.20961,2488212736456.6084,56574945756.35476,126917252560908.48,2885740665970.6606,25328482800944.914,575898322341.5438
0.20961,0.231192,1685642779092.363,41061823605.39184,78104104304159.1,1902595848642.0073,17193577726017.396,418831121568.63214
0.231192,0.254997,1211522994284.9824,38659829319.56703,50893635550723.97,1624021395486.9604,12357124208140.947,394317165271.2731
0.254997,0.279989,1056047985748.8909,36343695869.440094,42255441171130.375,1454213182996.1616,11290694604929.375,388567164005.608
0.279989,0.305012,834792028558.581,32721782452.875168,33360989032433.375,1307668243331.141,9749174977270.566,382143542089.26825
0.305012,0.325008,563183711201.1199,24144963993.27167,28164818523760.723,1207489697603.1033,8867729681041.201,380179699079.30194
0.325008,0.352994,791215259555.3143,29969744180.52573,28271823753137.84,1070883448171.4349,9576008262793.516,362721161454.62006
0.352994,0.390001,837853056237.4548,31538668697.967754,22640393877846.207,852235217606.608,8400410326551.55,316210290388.92804
0.390001,0.431579,769912742676.8955,31305736054.81372,18517310661332.81,752939921468.4141,7596978987710.558,308903861204.23114
0.431579,0.475017,711087212416.7854,32733041649.62045,16370164658059.416,753557752420.0107,7412040372570.026,341193909815.0991
0.475017,0.520011,780258446594.9059,32067655652.124676,17341388776168.07,712709597993.6145,8618758588885.003,354220301982.38776
0.520011,0.55499,549697215986.23755,25252528361.25235,15715063780732.377,721933970703.9183,8442381864526.888,387834395500.7865
0.55499,0.594993,591077492325.1908,27971682320.078514,14775829120945.693,699239615030.8352,8490834328310.831,401813507615.7861
0.594993,0.624999,427209396167.8075,23273365833.649387,14237465712451.104,775623736374.3721,8682169907598.633,472984251521.64636
0.624999,0.719999,1023374631769.0435,35045039837.940926,10772364544937.303,368895156188.8519,7226311020929.98,247462023923.8016
0.719999,0.800371,759469469412.865,30370370013.874428,9449428525019.459,377872517964.8931,7173269757589.921,286851368647.8559
0.800371,0.880024,716476888814.8042,29597503490.736927,8994976822151.137,371580524157.7459,7549061770019.6875,311850089762.9089
0.880024,0.919978,303603834647.9814,17100865097.713408,7598834525904.338,428013843362.703,6837273718175.32,385117979903.7328
0.919978,0.944022,186923290885.922,13314860798.402685,7774217721091.395,553770620462.5957,7244968103480.15,516071278916.1095
0.944022,0.96396,161021926269.72278,14690514586.498878,8076132323689.572,736809839828.4116,7704136879032.552,702871576683.4833
0.96396,0.981959,129173218166.45134,10844928445.629776,7176688603058.582,602529498618.2446,6982328647890.431,586211721323.4319
0.981959,0.996501,103090416462.71939,12595370712.944847,7089149804890.647,866137444157.9492,7012610226137.65,856785999070.3715
0.996501,1.00904,74952505267.69676,7226085528.956063,5977550463968.177,576288821194.3602,5993994112276.207,577874134569.2438
1.00904,1.02101,78697912631.46884,8206611322.836361,6574595875644.829,685598272584.4893,6673263168947.293,695887289145.8489
1.02101,1.03499,95620846256.18524,11219984703.193607,6839831634920.21,802574013103.9717,7031184372682.117,825027012367.8632
1.03499,1.07799,290919397963.73535,17742209869.754436,6765567394505.484,412609531854.755,7146274061413.927,435827569669.9793
1.07799,1.09198,83002853550.69261,9731920031.109304,5933013120135.306,695634026526.7578,6437096456965.461,754736798457.963
1.09198,1.10395,79797609840.3994,9034244659.58547,6666466987502.019,754740573064.7822,7319438681063.138,828666421811.5508
1.10395,1.11605,67945715296.305435,8370154474.597475,5615348371595.49,691748303685.7418,6232944108094.742,767829211728.4103
1.11605,1.12997,71538601105.84372,8612621373.728678,5139267320822.131,618722799836.8333,5771337750454.392,694818546857.3602
1.12997,1.14797,102460004807.43399,9754102279.147871,5692222489301.883,541894571063.77014,6483068238910.708,617182390376.4055
1.14797,1.16999,156270049852.15292,12750842566.28879,7096732509180.375,579057337251.9847,8224599904197.569,671085589646.6094
1.16999,1.21397,275968493826.41296,16294413256.489773,6274863433979.389,370495981275.348,7478238820598.397,441548642325.09863
1.21397,1.25094,236387779086.02362,16795799061.048431,6394043253611.684,454308873709.7229,7879484161614.354,559852261376.9634
1.25094,1.29304,222513558112.63406,15441108899.099054,5285357674884.416,366772182876.4619,6722001458727.215,466466661287.9814
1.29304,1.33095,199948651662.0981,15327683894.808254,5274298382012.596,404317697040.57526,6919130880302.8,530407432500.7871
1.33095,1.38098,246310298407.13086,17312573632.065575,4923252016932.455,346043846333.5113,6674621334212.751,469143491206.004
1.38098,1.41001,157224233891.43643,12581798965.17568,5415922628020.565,433406784883.76605,7557484101558.962,604784283534.711
1.41001,1.44397,164242487639.23715,14734399560.342482,4836351226125.948,433875134285.70337,6900936231455.14,619091644532.6217
1.44397,1.51998,364286337796.41144,19722017612.002575,4792610680126.441,259466091461.6832,7100193313072.675,384395798140.80426
1.51998,1.58803,312761201227.79834,21595487943.39811,4596049981304.902,317347361401.8828,7140572466300.32,493041163672.45667
1.58803,1.66895,364781249671.2559,19428194966.093067,4507924489264.168,240091386135.60422,7338843844932.562,390865728908.9192
1.66895,1.77997,394392297553.4416,19899825253.56412,3552443681800.0464,179245408517.06088,6122872357910.521,308941352881.7387
1.77997,1.90008,430946855242.52826,23039111560.644463,3587934853405.4487,191816764304.75793,6598372565372.054,352759603192.2507
1.90008,1.98992,332018949323.0005,21311900986.245415,3695669516061.8965,237220625403.44427,7186159949036.456,461271049792.3917
1.98992,2.0701,270236331757.85577,21716861159.27539,3370370812644.7407,270851348955.79138,6840552121148.74,549723716649.93726
2.0701,2.15695,253425700411.60425,14309208621.359793,2917970068066.8276,164757727361.65546,6165900814141.884,348146067841.0674
2.15695,2.21709,168990404390.0396,13002211033.904045,2809950189392.0957,216199052775.2598,6144836360693.055,472786957454.2965
2.21709,2.27299,177323130314.49634,12713976705.7815,3172149021726.2153,227441443752.7985,7121049514876.082,510575566155.84796
2.27299,2.33006,202493869369.8199,18507511381.287437,3548166626420.537,324294925202.1632,8165566525758.435,746315510096.415
2.33006,2.46994,353750361475.13025,21390150140.403427,2528955972799.0483,152917859167.8829,6066916568538.708,366846992747.08026
2.46994,2.55,192784524577.93707,13372960581.040714,2408000556806.608,167036729715.7221,6043240457613.384,419203857769.9357
2.55,2.59009,104331974350.19832,10635145909.521076,2602443860069.7896,265281763769.54425,6688194393620.269,681765333114.8447
2.59009,2.62005,99794368796.1463,11464961014.712679,3330920186787.261,382675601292.1456,8677136787286.33,996880246707.9553
2.62005,2.64004,38980428096.994484,5338627437.031183,1949996403051.2546,267064904303.71164,5128541255250.833,702387644104.3878
2.64004,2.70012,139445823560.4548,14291812802.1155,2321002389488.257,237879707092.4678,6196869835443.958,635117649176.8175
2.70012,2.7199,53519979673.43764,10403969022.756374,2705762369739.024,525984278197.99915,7332594250058.501,1425413161580.7112
2.7199,2.74092,39841482735.64129,6859444110.785468,1895408312827.8408,326329405841.3632,5175203471441.356,891006472069.3315
2.74092,2.77512,113588413695.44447,17116964489.182976,3321298646065.6484,500496037695.4118,9160032025246.934,1380351549906.527
2.77512,2.88405,245826209244.63498,18534856739.79315,2256735603090.3794,170153830347.86703,6384442161229.096,481375526171.4806
2.88405,3.14211,590275611715.7926,27310037804.843575,2287358024164.1157,105828248488.11722,6885670429620.299,318576468368.7552
3.14211,3.54307,873246382997.4098,37801351665.618866,2177889023836.3174,94277114090.23062,7266684504210.246,314562421024.7311
3.54307,3.71209,311228686174.98145,21941331231.169647,1841371945183.895,129814999592.7682,6677911158359.256,470786489698.7847
3.71209,3.88217,244118579405.7666,13862529164.711496,1435316200645.382,81505933470.78725,5448715222011.683,309410999601.9425
3.88217,4.0,170978724293.07193,11886715473.579557,1451062753908.782,100880212794.53065,5718122630581.768,397533067542.6958
4.0,4.21983,350876434692.36395,23665055534.592205,1596126255253.4414,107651619590.55728,6557596870988.548,442280754082.1986
4.21983,4.30981,137522795959.3956,12532251492.346056,1528370704149.7668,139278189512.62607,6517863251051.59,593963356293.4274
4.30981,4.4198,140551808612.76416,10910810146.14959,1277859883741.8245,99198201165.10156,5577166466508.01,432946434984.6484
4.4198,4.76785,490594624746.0234,24152915946.405457,1409552146950.2192,69394960340.19675,6470588000996.576,318559479107.2093
4.76785,4.93323,233526027408.57596,16957286056.759827,1412057246393.6155,102535288769.86238,6848244819815.243,497279244138.18933
4.93323,5.10997,246860905444.1011,18663885006.11587,1396746098472.907,105600797816.65671,7012814060875.1,530202848304.318
5.10997,5.21008,119338347786.34004,11598603524.657759,1192072198445.1116,115858590796.7013,6150832927536.101,597805096150.8888
5.21008,5.32011,131450636754.67503,12112310348.84845,1194679966869.717,110081889928.64166,6289760128727.312,579559966994.5966
5.32011,5.38003,84089099878.22116,9659398880.760324,1403356139489.6729,161204921240.9935,7507935857077.047,862444089896.286
5.38003,5.41025,23347700674.82966,3350043582.6003933,772591021668.7533,110855181422.91208,4168220377319.985,598076877906.817
5.41025,5.48817,66807692029.00289,6844053761.460061,857388244725.3893,87834365521.8173,4671969182439.349,478615669624.06476
5.48817,5.53004,45932328870.26444,6345567018.04451,1097022423459.8779,151554024792.085,6043568081489.131,834921007326.2976
5.53004,5.61979,96503562282.62656,9757446869.629112,1075248604820.3463,108718070970.79736,5994225372444.369,606074368787.7136
5.61979,5.72015,124063734255.08495,11489058540.426544,1236187069102.079,114478462937.6895,7008869095622.068,649064030075.2347
5.72015,5.80021,91143581097.63306,11318378373.402794,1138440933020.6536,141373699392.99094,6557466342543.03,814318291446.6721
5.80021,5.96014,161228920630.49924,13987893412.444519,1008121807231.2831,87462598714.71585,5927384481039.719,514247828560.3382
5.96014,6.05991,87278514029.90047,8126967195.677022,874797173798.7385,81457023109.92276,5257371771915.922,489541880962.83984
6.05991,6.16011,112165940793.13066,13441904933.060972,1119420566797.7104,134150747834.93977,6839440922851.312,819634855555.765
6.16011,6.28016,171150536381.09692,18502121400.443203,1425660444657.2004,154120128283.5752,8867387514849.121,958603366215.5286
